FID_1,OBJECTID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,geometry,geometry2,Abelmoschus.esculentus,Actinidia.deliciosa,Anacardium.occidentale,Bertholletia.excelsa.Bonpl,Brassica.napus,Brassica.nigra,Castanea_sativa_Mill,Citrullus.lanatus,Cocos.nucifera,Coffea.arabica,Coffea.canephora,Coffea.liberica,Cola.acuminata,Cola.nitida,Cucumis.melo,Cucumis.sativus,Cucurbita.maxima,Cucurbita.moschata,Cucurbita.pepo,Elettaria.cardamomum,Fagopyrum.esculentum,Fragaria.ananassa,Fragaria.chiloensis,Fragaria.moschata,Fragaria.virginiana,Fragaria.viridis,Fragaria_vesca,Glycine.max,Glycine.soja,Gossypium.arboreum,Gossypium.barbadense,Gossypium.herbaceum,Gossypium.hirsutum,Helianthus.annuus,Malus.domestica,Mangifera.indica,Myristica.fragrans,Persea.americana,Prunus.armeniaca,Prunus.cerasus,Prunus.domestica,Prunus.persica,Prunus_avium,Prunus_spinosa,Pyrus.communis,Ribes.nigrum,Ribes.rubrum,Rubus.chamaemorus,Rubus.flagellaris,Rubus_idaeus,Sesamum.indicum,Sinapis.alba,Solanum.melongena,Theobroma.cacao,Vaccinium.angustifolium,Vaccinium.corymbosum,Vaccinium.oxycoccus,Vaccinium_myrtillus,Vanilla.planifolia,Vanilla.pompona,Vicia.faba,number of crops
14,14,Arequipa,PER-ARQ,Arequipa,PE,Peru,Provincial capital,1080635,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020,c(-71.5229995707925, -16.3980000700735),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,La Paz,BOL-LPA,La Paz,BL,Bolivia,National and provincial capital,2143000,2,"1,000,000 to 4,999,999",0,1,UN_Habitat_2020,c(-68.1462446098306, -16.4990069929844),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,Rio Gallegos,ARG-SCR,Santa Cruz,AR,Argentina,Provincial capital,122334,5,"100,000 to 249,999",13960,0,UN_Data_2010_2020,c(-69.2289985645697, -51.6249990520445),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,Neuquen,ARG-NEU,Neuquen,AR,Argentina,Provincial capital,307682,4,"250,000 to 499,999",0,1,UN_Data_2010_2020,c(-68.2833325968593, -38.9449080027978),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,Antofagasta,CHL-ANT,Antofagasta,CI,Chile,Provincial capital,425725,4,"250,000 to 499,999",14660,1,UN_Data_2010_2020,c(-70.398998648551, -23.6410020503259),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,Copiapo,CHL-ATC,Atacama,CI,Chile,Provincial capital,171766,5,"100,000 to 249,999",0,0,UN_Data_2010_2020,c(-70.3320025891834, -27.3600000549543),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,San Juan,ARG-SJU,San Juan,AR,Argentina,Provincial capital,535947,3,"500,000 to 999,999",0,1,UN_Data_2010_2020,c(-68.5269986796646, -31.5340019994952),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,Mendoza,ARG-MND,Mendoza,AR,Argentina,Provincial capital,1025407,2,"1,000,000 to 4,999,999",0,1,UN_Data_2010_2020,c(-68.8300015761618, -32.8969980627816),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,Ica,PER-ICA,Ica,PE,Peru,Provincial capital,289861,4,"250,000 to 499,999",0,1,UN_Data_2010_2020,c(-75.7439997019229, -14.0640029873268),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,Tacna,PER-TAC,Tacna,PE,Peru,Provincial capital,286240,4,"250,000 to 499,999",0,1,UN_Data_2010_2020,c(-70.2510026406521, -18.0180000336011),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
